ProductKey,SKU,Product,Standard_Cost,Color,List_Price,Model,Subcategory,Category
210,FR-R92B-58,"HL Road Frame - Black, 58",868.63,Black,1431.50,HL Road Frame,Road Frames,Components
211,FR-R92R-58,"HL Road Frame - Red, 58",868.63,Red,1431.50,HL Road Frame,Road Frames,Components
212,HL-U509-R,"Sport-100 Helmet, Red",12.03,Red,33.64,Sport-100,Helmets,Accessories
213,HL-U509-R,"Sport-100 Helmet, Red",13.88,Red,33.64,Sport-100,Helmets,Accessories
214,HL-U509-R,"Sport-100 Helmet, Red",13.09,Red,34.99,Sport-100,Helmets,Accessories
215,HL-U509,"Sport-100 Helmet, Black",12.03,Black,33.64,Sport-100,Helmets,Accessories
216,HL-U509,"Sport-100 Helmet, Black",13.88,Black,33.64,Sport-100,Helmets,Accessories
217,HL-U509,"Sport-100 Helmet, Black",13.09,Black,34.99,Sport-100,Helmets,Accessories
218,SO-B909-M,"Mountain Bike Socks, M",3.40,White,9.50,Mountain Bike Socks,Socks,Clothing
219,SO-B909-L,"Mountain Bike Socks, L",3.40,White,9.50,Mountain Bike Socks,Socks,Clothing
220,HL-U509-B,"Sport-100 Helmet, Blue",12.03,Blue,33.64,Sport-100,Helmets,Accessories
221,HL-U509-B,"Sport-100 Helmet, Blue",13.88,Blue,33.64,Sport-100,Helmets,Accessories
222,HL-U509-B,"Sport-100 Helmet, Blue",13.09,Blue,34.99,Sport-100,Helmets,Accessories
223,CA-1098,AWC Logo Cap,5.71,Multi,8.64,Cycling Cap,Caps,Clothing
224,CA-1098,AWC Logo Cap,5.23,Multi,8.64,Cycling Cap,Caps,Clothing
225,CA-1098,AWC Logo Cap,6.92,Multi,8.99,Cycling Cap,Caps,Clothing
226,LJ-0192-S,"Long-Sleeve Logo Jersey, S",31.72,Multi,48.07,Long-Sleeve Logo Jersey,Jerseys,Clothing
227,LJ-0192-S,"Long-Sleeve Logo Jersey, S",29.08,Multi,48.07,Long-Sleeve Logo Jersey,Jerseys,Clothing
228,LJ-0192-S,"Long-Sleeve Logo Jersey, S",38.49,Multi,49.99,Long-Sleeve Logo Jersey,Jerseys,Clothing
229,LJ-0192-M,"Long-Sleeve Logo Jersey, M",31.72,Multi,48.07,Long-Sleeve Logo Jersey,Jerseys,Clothing
230,LJ-0192-M,"Long-Sleeve Logo Jersey, M",29.08,Multi,48.07,Long-Sleeve Logo Jersey,Jerseys,Clothing
231,LJ-0192-M,"Long-Sleeve Logo Jersey, M",38.49,Multi,49.99,Long-Sleeve Logo Jersey,Jerseys,Clothing
232,LJ-0192-L,"Long-Sleeve Logo Jersey, L",31.72,Multi,48.07,Long-Sleeve Logo Jersey,Jerseys,Clothing
233,LJ-0192-L,"Long-Sleeve Logo Jersey, L",29.08,Multi,48.07,Long-Sleeve Logo Jersey,Jerseys,Clothing
234,LJ-0192-L,"Long-Sleeve Logo Jersey, L",38.49,Multi,49.99,Long-Sleeve Logo Jersey,Jerseys,Clothing
235,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",31.72,Multi,48.07,Long-Sleeve Logo Jersey,Jerseys,Clothing
236,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",29.08,Multi,48.07,Long-Sleeve Logo Jersey,Jerseys,Clothing
237,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",38.49,Multi,49.99,Long-Sleeve Logo Jersey,Jerseys,Clothing
238,FR-R92R-62,"HL Road Frame - Red, 62",747.97,Red,1263.46,HL Road Frame,Road Frames,Components
239,FR-R92R-62,"HL Road Frame - Red, 62",722.26,Red,1301.36,HL Road Frame,Road Frames,Components
240,FR-R92R-62,"HL Road Frame - Red, 62",868.63,Red,1431.50,HL Road Frame,Road Frames,Components
241,FR-R92R-44,"HL Road Frame - Red, 44",747.97,Red,1263.46,HL Road Frame,Road Frames,Components
242,FR-R92R-44,"HL Road Frame - Red, 44",722.26,Red,1301.36,HL Road Frame,Road Frames,Components
243,FR-R92R-44,"HL Road Frame - Red, 44",868.63,Red,1431.50,HL Road Frame,Road Frames,Components
244,FR-R92R-48,"HL Road Frame - Red, 48",747.97,Red,1263.46,HL Road Frame,Road Frames,Components
245,FR-R92R-48,"HL Road Frame - Red, 48",722.26,Red,1301.36,HL Road Frame,Road Frames,Components
246,FR-R92R-48,"HL Road Frame - Red, 48",868.63,Red,1431.50,HL Road Frame,Road Frames,Components
247,FR-R92R-52,"HL Road Frame - Red, 52",747.97,Red,1263.46,HL Road Frame,Road Frames,Components
248,FR-R92R-52,"HL Road Frame - Red, 52",722.26,Red,1301.36,HL Road Frame,Road Frames,Components
249,FR-R92R-52,"HL Road Frame - Red, 52",868.63,Red,1431.50,HL Road Frame,Road Frames,Components
250,FR-R92R-56,"HL Road Frame - Red, 56",747.97,Red,1263.46,HL Road Frame,Road Frames,Components
251,FR-R92R-56,"HL Road Frame - Red, 56",722.26,Red,1301.36,HL Road Frame,Road Frames,Components
252,FR-R92R-56,"HL Road Frame - Red, 56",868.63,Red,1431.50,HL Road Frame,Road Frames,Components
253,FR-R38B-58,"LL Road Frame - Black, 58",176.20,Black,297.63,LL Road Frame,Road Frames,Components
254,FR-R38B-58,"LL Road Frame - Black, 58",170.14,Black,306.56,LL Road Frame,Road Frames,Components
255,FR-R38B-58,"LL Road Frame - Black, 58",204.63,Black,337.22,LL Road Frame,Road Frames,Components
256,FR-R38B-60,"LL Road Frame - Black, 60",176.20,Black,297.63,LL Road Frame,Road Frames,Components
257,FR-R38B-60,"LL Road Frame - Black, 60",170.14,Black,306.56,LL Road Frame,Road Frames,Components
258,FR-R38B-60,"LL Road Frame - Black, 60",204.63,Black,337.22,LL Road Frame,Road Frames,Components
259,FR-R38B-62,"LL Road Frame - Black, 62",176.20,Black,297.63,LL Road Frame,Road Frames,Components
260,FR-R38B-62,"LL Road Frame - Black, 62",170.14,Black,306.56,LL Road Frame,Road Frames,Components
